# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.15900001 2176300.00000000 57454.32421875
0.16000001 2145527.50000000 62177.39062500
0.16100001 2112506.75000000 66734.09375000
0.16200000 2077268.50000000 66025.97656250
0.16300000 2039940.00000000 55200.77734375
0.16400000 2000731.25000000 49518.10156250
0.16500001 1959702.62500000 68315.23437500
0.16600001 1917077.25000000 48022.78906250
0.16700001 1872988.62500000 99118.56250000
0.16800001 1827707.75000000 69498.59375000
0.16900001 1781426.00000000 59054.27734375
0.17000000 1734320.62500000 53382.39062500
0.17100000 1686621.12500000 56569.27343750
0.17200001 1638539.25000000 55276.12500000
0.17300001 1590260.37500000 62258.69531250
0.17400001 1542073.00000000 40479.41796875
0.17500001 1494059.25000000 51276.11718750
0.17600001 1446466.50000000 49924.79687500
0.17700000 1399477.25000000 44839.25000000
0.17800000 1353230.62500000 39967.66796875
0.17900001 1307933.50000000 49439.88671875
0.18000001 1263659.50000000 37739.19140625
0.18100001 1220660.75000000 49986.05859375
0.18200001 1178856.00000000 32359.59960938
0.18300001 1138469.12500000 40848.27343750
0.18400002 1099564.50000000 51871.96093750
0.18500000 1062187.12500000 47416.03515625
0.18600000 1026398.31250000 31669.52148438
0.18700001 992224.81250000 36374.96093750
0.18800001 959665.68750000 27206.52343750
0.18900001 928805.68750000 29118.06054688
0.19000001 899495.37500000 30924.65234375
0.19100001 871904.37500000 37666.27343750
0.19200000 845817.56250000 36729.62890625
0.19300000 821309.18750000 26290.10742188
0.19400001 798233.00000000 23348.31640625
0.19500001 776625.25000000 22832.78320312
0.19600001 756319.18750000 29054.00390625
0.19700001 737332.93750000 24088.66796875
0.19800001 719503.31250000 21477.17578125
0.19900002 702844.68750000 25302.41015625
0.20000000 687153.68750000 22789.45312500
0.20100001 672416.43750000 22411.64062500
0.20200001 658533.93750000 24062.83007812
0.20300001 645437.43750000 23700.46289062
0.20400001 632997.18750000 21411.13085938
0.20500001 621171.56250000 19194.20312500
0.20600002 609810.12500000 28401.90820312
0.20700002 598941.31250000 31767.84960938
0.20800000 588406.81250000 23980.51953125
0.20900001 578247.93750000 18214.81054688
0.21000001 568263.12500000 25179.74023438
0.21100001 558496.87500000 19536.22070312
0.21200001 548868.25000000 21043.60937500
0.21300001 539338.43750000 24237.87109375
0.21400002 529900.18750000 22216.06640625
0.21500000 520533.25000000 18551.80468750
0.21600001 511139.46875000 23292.62695312
0.21700001 501778.21875000 21330.59375000
0.21800001 492426.68750000 19411.46093750
0.21900001 483047.43750000 17534.62304688
0.22000001 473687.84375000 15702.75292969
0.22100002 464358.90625000 18555.78320312
0.22200002 455053.71875000 18265.85742188
0.22300000 445775.56250000 14978.05957031
0.22400001 436558.78125000 20627.40234375
0.22500001 427483.87500000 17390.04492188
0.22600001 418487.65625000 17099.40625000
0.22700001 409642.65625000 16811.73632812
0.22800002 400993.62500000 15151.54492188
0.22900002 392536.68750000 14896.76855469
0.23000000 384340.37500000 17312.61328125
0.23100001 376407.40625000 17028.67187500
0.23200001 368788.15625000 14178.06152344
0.23300001 361486.56250000 20301.08593750
0.23400001 354582.90625000 13748.95312500
0.23500001 348014.40625000 12319.71093750
0.23600002 341907.00000000 14585.75390625
0.23700002 336208.59375000 20404.50195312
0.23800001 330989.75000000 16612.37500000
0.23900001 326203.43750000 17614.98632812
0.24000001 321920.90625000 12801.18554688
0.24100001 318135.90625000 13858.00097656
0.24200001 314848.43750000 13771.47167969
0.24300002 312045.09375000 15989.19140625
0.24400002 309727.37500000 17073.72265625
0.24500000 307888.46875000 12497.19335938
0.24600001 306546.93750000 13629.07714844
0.24700001 305659.93750000 12507.60546875
0.24800001 305223.75000000 12540.11816406
0.24900001 305207.90625000 13734.35644531
0.25000000 305604.18750000 12656.59765625
0.25100002 306367.65625000 18529.11718750
0.25200000 307518.15625000 14004.37695312
0.25300002 308974.15625000 17657.87500000
0.25400001 310736.40625000 13074.23437500
0.25500003 312755.09375000 13210.77636719
0.25600001 315011.56250000 18215.54492188
0.25700000 317460.43750000 14742.86230469
0.25800002 320090.37500000 16166.16503906
0.25900000 322837.93750000 13849.74804688
0.26000002 325705.31250000 15301.63671875
0.26100001 328593.78125000 12913.73632812
0.26200002 331573.40625000 15696.68652344
0.26300001 334494.28125000 14570.57128906
0.26400000 337414.25000000 16094.65917969
0.26500002 340275.78125000 21723.20703125
0.26600000 343043.62500000 13738.89746094
0.26700002 345703.50000000 13897.28125000
0.26800001 348238.25000000 14051.41406250
0.26900002 350596.34375000 14199.15332031
0.27000001 352800.03125000 17209.58593750
0.27100003 354785.43750000 17370.29687500
0.27200001 356616.03125000 21905.14062500
0.27300000 358174.71875000 14720.98144531
0.27400002 359485.28125000 20760.27734375
0.27500001 360606.81250000 14929.12207031
0.27600002 361443.96875000 21025.19726562
0.27700001 362047.87500000 15097.39648438
0.27800003 362399.53125000 16683.06445312
0.27900001 362489.62500000 18269.47851562
0.28000000 362354.03125000 18327.86718750
0.28100002 361934.71875000 18371.80664062
0.28200001 361309.68750000 19938.87500000
0.28300002 360436.87500000 23031.91796875
0.28400001 359323.09375000 19969.38085938
0.28500003 358002.40625000 18429.96484375
0.28600001 356463.40625000 16880.32617188
0.28700000 354729.06250000 15324.29589844
0.28800002 352819.84375000 16824.21484375
0.28900000 350712.40625000 24409.58398438
0.29000002 348456.96875000 16731.16210938
0.29100001 346044.78125000 15156.76171875
0.29200003 343509.68750000 16606.97656250
0.29300001 340837.09375000 19540.19140625
0.29400000 338044.68750000 14958.47753906
0.29500002 335166.84375000 17857.69140625
0.29600000 332195.34375000 19239.09375000
0.29700002 329131.37500000 14712.17382812
0.29800001 326027.53125000 16084.56835938
0.29900002 322868.71875000 14529.09375000
0.30000001 319657.00000000 15875.76562500
0.30100003 316421.25000000 18634.04882812
0.30200002 313163.46875000 18503.26367188
0.30300000 309893.59375000 24022.95117188
0.30400002 306632.46875000 21042.65429688
0.30500001 303350.31250000 15316.15722656
0.30600002 300083.53125000 17964.50195312
0.30700001 296872.37500000 13715.50390625
0.30800003 293661.65625000 17694.58398438
0.30900002 290498.53125000 14859.00097656
0.31000000 287363.62500000 24129.92382812
0.31100002 284297.96875000 17296.68945312
0.31200001 281270.96875000 13205.67187500
0.31300002 278315.90625000 13108.67968750
0.31400001 275420.31250000 15616.33203125
0.31500003 272597.25000000 14213.22167969
0.31600001 269859.12500000 12831.80175781
0.31700000 267206.12500000 14020.30566406
0.31800002 264622.31250000 12662.17871094
0.31900001 262169.78125000 13842.56445312
0.32000002 259795.51562500 18763.73242188
0.32100001 257528.96875000 21145.70507812
0.32200003 255384.71875000 18560.08593750
0.32300001 253345.45312500 22162.66210938
0.32400000 251421.98437500 12256.82128906
0.32500002 249636.06250000 14648.64453125
0.32600001 247973.06250000 12163.07910156
0.32700002 246467.85937500 19401.95117188
0.32800001 245103.40625000 13305.43847656
0.32900003 243882.81250000 13279.41992188
0.33000001 242817.85937500 15672.67968750
0.33100003 241910.21875000 16865.98242188
0.33200002 241179.37500000 16865.67382812
0.33300000 240604.00000000 14465.11230469
0.33400002 240207.73437500 15691.57128906
0.33500001 239983.68750000 15723.73144531
0.33600003 239931.00000000 15767.06640625
0.33700001 240070.85937500 12171.59277344
0.33800003 240390.32812500 17113.38867188
0.33900002 240884.23437500 13513.60644531
0.34000000 241559.12500000 17298.04882812
0.34100002 242428.81250000 16167.57812500
0.34200001 243484.68750000 17538.20312500
0.34300002 244704.29687500 12626.74218750
0.34400001 246113.81250000 14010.02929688
0.34500003 247685.50000000 12854.87890625
0.34600002 249446.89062500 18177.19531250
0.34700000 251355.09375000 19681.10351562
0.34800002 253408.17187500 17245.69335938
0.34900001 255630.18750000 13420.58496094
0.35000002 257972.26562500 14940.46484375
0.35100001 260465.42187500 13752.57421875
0.35200003 263057.28125000 19500.43750000
0.35300002 265761.81250000 15523.14843750
0.35400000 268578.81250000 15732.00390625
0.35500002 271468.43750000 15946.05664062
0.35600001 274432.31250000 16165.43554688
